ObjectId;Country;ISO3;Indicator;CTS Name;Unit;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
29;Algeria;DZA;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;;;;;;;;;;;;9010000000;4210000000;16730000000;11930797901;;;;;;;;;;;;;
30;Algeria;DZA;Expenditure on environment protection;Environmental Protection Expenditures;Percent of GDP;;;;;;;;;;;;0,105979604;0,045012842;0,151489036;0,119690687;;;;;;;;;;;;;
31;Angola;AGO;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Domestic Currency;;;;;;;;;;;;;;;;;;;;4038821665;1454877619;1032447372;23316770133;1097848154;1405176929;;;
32;Angola;AGO;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Percent of GDP;;;;;;;;;;;;;;;;;;;;0,028196463;0,010429013;0,006238517;0,115074768;0,004099815;0,00429855;;;
33;Angola;AGO;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;;;;;400550,8866;4055577,5;449212243,2;633712123;1259392249;3788665015;9888633779;9991386728;12864961900;19278072231;21475385627;27518472526;32555272126;55081587914;49102330373;37070757064;21341707139;1906470490;26418879174;4569486210;2937514547;;;
34;Angola;AGO;Expenditure on environment protection;Environmental Protection Expenditures;Percent of GDP;;;;;0,001907205;0,003617256;0,186327296;0,095239873;0,094766672;0,192555399;0,306876275;0,237338518;0,256973652;0,290185877;0,385047043;0,35730613;0,310022402;0,450566985;0,372128209;0,258804258;0,152983958;0,011519762;0,130384542;0,017064335;0,008986095;;;
35;Angola;AGO;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Domestic Currency;;;;;;;;;;;;;;;;;;;;2576199627;6971101203;104514172;705293050,1;999859837,4;196241705;;;
36;Angola;AGO;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Percent of GDP;;;;;;;;;;;;;;;;;;;;0,017985374;0,04997101;0,000631522;0,003480818;0,003733886;0,000600319;;;
37;Angola;AGO;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Domestic Currency;;;;;;;;;;;;;;;;;;;;1116881477;655412156,5;82018677,49;875944926,4;513236921,1;473335918,9;;;
38;Angola;AGO;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Percent of GDP;;;;;;;;;;;;;;;;;;;;0,00779735;0,004698197;0,000495594;0,004323033;0,001916637;0,001447973;;;
39;Angola;AGO;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Domestic Currency;;;;;;;;;;;;;;;;;;;;104548586,4;79333450;0;0;0;0;;;
40;Angola;AGO;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Percent of GDP;;;;;;;;;;;;;;;;;;;;0,000729891;0,000568687;0;0;0;0;;;
41;Angola;AGO;Expenditure on waste management;Expenditure on Waste Management;Domestic Currency;;;;;;;;;;;;;;;;;;;;29221054959;12177198513;687490268,7;1461867165;1770553870;638863768,1;;;
42;Angola;AGO;Expenditure on waste management;Expenditure on Waste Management;Percent of GDP;;;;;;;;;;;;;;;;;;;;0,204002671;0,087289926;0,004154129;0,007214722;0,006611974;0,001954336;;;
43;Angola;AGO;Expenditure on waste water management;Expenditure on Waste Water Management;Domestic Currency;;;;;;;;;;;;;;;;;;;;13250750;3784198;0;59003899,43;187987427,3;223896226,7;;;
44;Angola;AGO;Expenditure on waste water management;Expenditure on Waste Water Management;Percent of GDP;;;;;;;;;;;;;;;;;;;;9,25E-05;2,71E-05;0;0,000291201;0,000702022;0,000684917;;;
45;Argentina;ARG;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;;;;;;;;63200000;61407573,96;242495196,1;;;;;;;;;;2599300000;2128492165;5498300000;11362100000;18301700000;29904546689;31963078934;25630290491;
46;Argentina;ARG;Expenditure on environment protection;Environmental Protection Expenditures;Percent of GDP;;;;;;;;0,018083726;0,014610688;0,049987134;;;;;;;;;;0,056764598;0,035745877;0,066822963;0,10658402;0,124122991;0,137162623;0,116307875;0,055378449;
47;Armenia, Rep. of;ARM;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Domestic Currency;;;;;;;;;;;;;;;;;;;3633733632;;;;3327657858;4444403968;3528352486;1260289567;1072737104;
48;Armenia, Rep. of;ARM;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Percent of GDP;;;;;;;;;;;;;;;;;;;0,079763438;;;;0,059801633;0,073863686;0,053922955;0,020387545;0,015362206;
49;Armenia, Rep. of;ARM;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;;;;;;;;;;;;;;;;;;;15920956795;;;;18179002379;22901450431;22181577175;21188169803;24953396700;
50;Armenia, Rep. of;ARM;Expenditure on environment protection;Environmental Protection Expenditures;Percent of GDP;;;;;;;;;;;;;;;;;;;0,349478077;;;;0,326696456;0,380610212;0,338995664;0,342758349;0,357346852;
51;Armenia, Rep. of;ARM;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Domestic Currency;;;;;;;;;;;;;;;;;;;3913461951;;;;4641845995;2832006723;5013743262;6805679030;9127192451;
52;Armenia, Rep. of;ARM;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Percent of GDP;;;;;;;;;;;;;;;;;;;0,085903704;;;;0,083419024;0,047066481;0,076623822;0,110094611;0,130706594;
53;Armenia, Rep. of;ARM;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Domestic Currency;;;;;;;;;;;;;;;;;;;7470857;;;;2122500;4543990;7390275;3094532,5;8209465;
54;Armenia, Rep. of;ARM;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Percent of GDP;;;;;;;;;;;;;;;;;;;0,000163991;;;;3,81E-05;7,55E-05;0,000112944;5,01E-05;0,000117564;
